Year_Published,count,cumulation,A,B,C,D,E,F,G,H,I,J,K,L,M,N
2008,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2009,3,5,1,1,0,0,3,0,0,0,0,0,0,0,0,0
2010,14,19,1,5,0,2,5,2,1,1,0,0,0,0,2,0
2011,21,40,2,7,0,5,11,3,2,1,0,1,0,4,4,0
2012,22,62,6,9,0,7,14,3,4,2,0,1,0,9,5,2
2013,30,92,8,13,0,10,17,10,8,2,0,2,2,11,7,2
2014,39,131,13,15,1,11,23,17,14,2,0,3,3,14,7,8
2015,30,161,13,17,3,13,27,19,17,3,1,6,3,15,13,11
2016,15,176,13,18,3,14,29,19,19,4,4,8,3,16,13,13
2017,11,187,13,18,3,15,30,20,19,8,4,10,3,18,13,13
2018,14,201,15,21,4,15,30,22,21,8,5,10,4,18,14,14
2019,13,214,15,22,4,15,31,24,21,16,5,11,4,18,14,14
2020,3,217,16,22,4,16,31,24,21,16,5,11,4,18,14,15
