domain,domain_name,Anaconda,Bioconductor,CRAN,none,total
d,Transcriptome Quantification and Annotation,14,4,0,25,43
f,RNA Splicing and Differential Isoform Usage,7,4,0,13,24
b,Read Alignment,12,0,0,10,22
e,Differential Expression,8,8,2,4,22
g,Adaptive Immune Repertoire Profiling and Cell Deconvolution,5,0,1,16,22
j,Fusion Detection,6,1,0,10,17
a,Data Quality Control and Read Trimming,10,1,0,5,16
k,Visualization Tools,3,2,0,11,16
c,Transcriptome assembly ,1,0,0,12,13
h,Allele Specific Expression,2,0,0,8,10
i,Viral Detection,2,0,0,2,4
,,,,,,
,,,,,,
