Tool,Year Published,Notable Features,Programming language,Package manager,Required expertise,Software,Type of URL
,,,,,,,
,,,,,,,1. Web services designed to host source code
,,,,,,,
,,,,,,,2. Others (e.g personal and/or university web services)
a. Data quality control,,,,,,,
iSeqQC1,2020,Expression-based raw data QC tool that detects outliers,R,N/A,++,https://github.com/gkumar09/iSeqQC,1
,,,,,,,
qsmooth2,2018,Adaptive smooth quantile normalization,R,Bioconductor,++,http://bioconductor.org/packages/release/bioc/html/qsmooth.html,1
FastQC3,2018,Raw data QC tool for for high throughput sequence data,Java,Anaconda ,++,https://github.com/s-andrews/fastqc/,1
QC34,2014,Raw data QC tool detecting batch effect and cross contamination,"Perl, R",Anaconda,++,https://github.com/slzhao/QC3,1
,,,,,,,
kPAL5,2014,Alignment-free assessment raw data QC tool by analyzing k-mer frequencies,Python,Anaconda ,++,https://github.com/LUMC/kPAL,1
,,,,,,,
,,,,,,,
HTQC6,2013,Raw data QC read assessment and filtration,C++,N/A,+++,https://sourceforge.net/projects/htqc/,1
,,,,,,,
Trimmomatic7,2014,Trimming of reads and removal of adapters ,Java,Anaconda,++,http://www.usadellab.org/cms/index.php?page=trimmomatic,2
,,,,,,,
Skewer8,2014,Adapter trimming of reads,C++,Anaconda,++,https://sourceforge.net/projects/skewer,1
,,,,,,,
Flexbar9,2012,Trimming of reads and adaptor removal,C++,Anaconda,++,https://github.com/seqan/flexbar,1
QuaCRS10,2014,Post QC tool by performing meta-analyses on QC metrics across large numbers of samples.,Python,N/A,+++,https://github.com/kwkroll32/QuaCRS,1
BlackOPs11,2013,Post QC tool that simulates experimental RNA-seq derived from the reference genome and aligns these sequences and outputs a blacklist of positions and alleles caused by mismapping,Perl,N/A,+++,https://sourceforge.net/projects/rnaseqvariantbl/,1
RSeQC12,2012,Post QC evaluation of different aspects of RNA-seq ,"Python, C",Anaconda,++,http://rseqc.sourceforge.net/,1
,,"experiments, such as sequence quality, GC bias, nucleotide composition bias, sequencing depth, strand specificity, coverage uniformity and read distribution over the genome structure.",,,,,
RNA-SeQC13,2012,RNA-seq metrics for post- quality control and process optimization,Java,Anaconda,++,https://software.broadinstitute.org/cancer/cga/rna-seqc,2
